"license","year","name","address","lon","lat","quadrant","subhood","firstYr"
"ABRA001881",2008,"Loeb's Restaurant","832 15TH ST NW",-77.0338062,38.9005747,"NW","Downtown",2008
"ABRA001881",2009,"Loeb's Restaurant","832 15TH ST NW",-77.0338062,38.9005747,"NW","Downtown",2008
"ABRA001881",2010,"Loeb's Restaurant","832 15TH ST NW",-77.0338062,38.9005747,"NW","Downtown",2008
"ABRA005053",2008,"Ivys Place","3520 CONNECTICUT AVE NW",-77.0593022,38.9362135,"NW","Cleveland Park",2008
"ABRA005053",2009,"Ivys Place","3520 CONNECTICUT AVE NW",-77.0593022,38.9362135,"NW","Cleveland Park",2008
"ABRA013080.2",2008,"Mama Ilardo Pizzeria","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA013080.2",2009,"Mama Ilardo Pizzeria","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA013080.2",2010,"Mama Ilardo Pizzeria","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA013742.3",2008,"Wingmaster's","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA013742.3",2009,"Wingmaster's","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA017833",2008,"Pesce","2016 P ST NW",-77.0456101,38.9094792,"NW","Dupont Circle",2008
"ABRA017833",2009,"Pesce","2016 P ST NW",-77.0456101,38.9094792,"NW","Dupont Circle",2008
"ABRA024772",2008,"Frank & Stein","470 L'ENFANT PLZ SW",-77.0248061,38.8841846,"SW","Southwest Federal Center",2008
"ABRA024772",2009,"Frank & Stein","470 L'ENFANT PLZ SW",-77.0248061,38.8841846,"SW","Southwest Federal Center",2008
"ABRA025855",2008,"One Fish Two Fish","2423 PENNSYLVANIA AVE NW",-77.052245,38.9035782,"NW","West End",2008
"ABRA025855",2009,"One Fish Two Fish","2423 PENNSYLVANIA AVE NW",-77.052245,38.9035782,"NW","West End",2008
"ABRA025855",2010,"One Fish Two Fish","2423 PENNSYLVANIA AVE NW",-77.052245,38.9035782,"NW","West End",2008
"ABRA026465",2008,"Banducci's","601 2ND ST NE",-81.3355148,35.7404537,NA,NA,2008
"ABRA026465",2009,"Banducci's","601 2ND ST NE",-81.3355148,35.7404537,NA,NA,2008
"ABRA026694",2008,"Bread & Chocolate","666 PENNSYLVANIA AVE SE",-76.996395,38.885145,"SE","Capitol Hill",2008
"ABRA026694",2009,"Bread & Chocolate","666 PENNSYLVANIA AVE SE",-76.996395,38.885145,"SE","Capitol Hill",2008
"ABRA060846.1",2008,"Frank & Stein","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA060846.1",2009,"Frank & Stein","50 MASSACHUSETTS AVE NE",-77.006203,38.8972903,"NE","Union Station",2008
"ABRA071047",2008,"Colorado Kitchen","5515 COLORADO AVE NW",-77.032504,38.956615,"NW","16th Street Heights",2008
"ABRA071047",2009,"Colorado Kitchen","5515 COLORADO AVE NW",-77.032504,38.956615,"NW","16th Street Heights",2008
"ABRA072360",2008,"Mongolian Grill/Tokyo Sushi Bar","1207 9TH ST NW",-77.0230222,38.9052276,"NW","Mt. Vernon Square",2008
"ABRA072360",2009,"Mongolian Grill/Tokyo Sushi Bar","1207 9TH ST NW",-77.0230222,38.9052276,"NW","Mt. Vernon Square",2008
"ABRA072699",2008,"Footnotes Cafe","418 7TH ST NW",-77.0220795,38.8953419,"NW","Downtown",2008
"ABRA072699",2009,"Footnotes Cafe","418 7TH ST NW",-77.0220795,38.8953419,"NW","Downtown",2008
"ABRA073982",2008,"Legends Restaurant & Carry Out","2157 P ST NW",-77.0484633,38.9098238,"NW","Dupont Circle",2008
"ABRA073982",2009,"Legends Restaurant & Carry Out","2157 P ST NW",-77.0484633,38.9098238,"NW","Dupont Circle",2008
"ABRA073982",2010,"Legends Restaurant & Carry Out","2157 P ST NW",-77.0484633,38.9098238,"NW","Dupont Circle",2008
"ABRA075324",2008,"90 Min Cafe","1824 COLUMBIA RD NW",-77.0430526,38.9219952,"NW","Washington Heights",2008
"ABRA075324",2009,"90 Min Cafe","1824 COLUMBIA RD NW",-77.0430526,38.9219952,"NW","Washington Heights",2008
"ABRA076650",2008,"Pangea","2121 PENNSYLVANIA AVE NW",-77.0476751,38.9019938,"NW","Downtown",2008
"ABRA076650",2009,"Pangea","2121 PENNSYLVANIA AVE NW",-77.0476751,38.9019938,"NW","Downtown",2008
"ABRA076650",2010,"Pangea","2121 PENNSYLVANIA AVE NW",-77.0476751,38.9019938,"NW","Downtown",2008
"ABRA081996",2010,"Buka Restaurant","1413 H ST NE",-96.7649247,41.8438982,NA,NA,2010
"15ABRA072256",2008,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2009,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2010,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2011,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2012,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2013,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2014,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
"15ABRA072256",2015,"maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008
