"PHARMACY.NAME","STREET.ADDRESS","lon","lat","WARD_ID"
"CVSPHARMACY6419","1000 U ST NW",-77.0263046,38.9166973,1
"GIANTPHARMACY378","1345 PARK RD NW",-77.0319802,38.9308384,1
"HARRISTEETERPHARMACY231","1631 KALORAMA RD NW",-77.0385622,38.9219166,1
"SAFEWAYPHARMACY4202","1747 COLUMBIA RD NW",-77.0410026,38.924236,1
"CVSPHARMACY1351","1755 COLUMBIA RD NW",-77.0411111,38.9241553,1
"RITEAIDPHARMACY3845","1815 CONNECTICUT AVE NW",-77.0455401,38.9154156,1
"CVSPHARMACY1355","1900 7TH STREET NW",-77.022286,38.9158219,1
"CVSPHARMACY4546","2129 14TH ST NW",-77.0315628,38.9189647,1
"CVSPHARMACY1354","2601 CONNECTICUT AVE NW",-77.0512225,38.923834,1
"CVSPHARMACY2834","3031 14TH STREET NW",-77.032225,38.928417,1
"TARGETSTORET2259","3100 14TH ST NW",-77.0331937,38.929591,1
"MOUNTPLEASANTPHARMACYINC","3169 MOUNT PLEASANT ST NW",-77.0378867,38.9308322,1
"COLUMBIAHEIGHTSPHARMACY","3316 14TH ST NW",-77.0330396,38.9307566,1
"CVSPHRMACY2787","3642 GEORGIA AVE NW",-77.0245185,38.9355569,1
"HOWARDUNIVERSITYHOSPITALPHARMACY","2041 GEORGIA AVE NW",-77.0199887,38.9175229,1
"RITEAID3351","1306 U ST NW",-77.0299197,38.9167769,1
"DISTRICTOFCOLUMBIACVSPHARMACYLLCdbaCVSPHARMACY17333","3100 14th STREET NW",-77.0331937,38.929591,1
"WALGREENS16049","2041 GEORGIA AVE NW",-77.0199887,38.9175229,1
"CVSPHARMACY2527","1025 CONNECTICUT AVE NW",-77.0393145,38.9033301,2
"CVSPHARMACY0021","1117 10TH ST NW",-77.0256633,38.904518,2
"TSCHIFFELYPHARMACYOF19THST","1145 19TH ST NW",-77.0429251,38.9050447,2
"CVSPHARMACY1341","1199 VERMONT AVE NW",-77.0323925,38.904479,2
"WALGREENS10071","1217 22ND ST NW",-77.0485101,38.9056632,2
"CVSPHARMACY1842","1275 PENNSYLVANIA AVE NW",-77.0289511,38.8958488,2
"COMMUNITYAWALGREENSPHARMACY","1325 14TH ST NW",-77.0315169,38.908144,2
"TSCHIFFELYPHARMACYDUPONTCIRCLE","1330 CONNECTICUT AVE NW",-77.0427978,38.9079293,2
"CVSPHARMACY1337","1403 WISCONSIN AVE NW",-77.0636673,38.9086428,2
"CVSPHARMACY2817","1418 P ST NW",-77.0328185,38.9093506,2
"CVSPHARMACY2075","1500 K STREET NW",-77.0348051,38.9021166,2
"GRUBBSCAREPHARMACYNWINC","1517 17TH ST NW",-77.0381903,38.9103059,2
"CVSPHARMACY1365","1637 P STREET NW",-77.0382335,38.909885,2
"ALPHAPEOPLESDRUG","1638 R ST NW",-77.0380413,38.9123837,2
"WHITMANWALKERCLINICPHARMACY","1701 14TH ST NW",-77.0315908,38.9128044,2
"SAFEWAYPHARMACY2912","1855 WISCONSIN AVE NW",-77.0672613,38.9161787,2
"CVSPHARMACY1342","1901 PENNSYLVANIA AVE NW",-77.043793,38.9006698,2
"CVSPHARMACY1839","1990 K STREET NW",-77.0445214,38.9019271,2
"CVSPHARMACY2208","2000 L ST NW",-77.0457607,38.9034365,2
"CVSPHARMACY1841","2000 M STREET NW",-77.0452345,38.9052122,2
"CVSPHARMACY2847","2000 PENNSYLVANIA AVE NW",-77.0457525,38.9002964,2
"TSCHIFFELYPHARMACY","2021 K ST NW",-77.0457347,38.90295,2
"CVSPHARMACY1358","2125 E STREET NW",-77.0477656,38.8964559,2
"FOERSPHARMACY","2141 K ST NW  WASHINGTON DC",-77.0480365,38.9028909,2
"CVSPHARMACY7074","2240 M ST NW",-77.0495438,38.9050774,2
"CVSPHARMACY1332","2550 VIRGINIA AVE NW",-77.0545078,38.8991342,2
"MORGANPHARMACY","3001 P ST NW",-77.0593695,38.9094718,2
"MEDSTARPHARMACY10","3800 RESERVOIR RD NW",-77.0752748,38.9114532,2
"CVSPHARMACY1347","6-7 DUPONT CIRCLE NW",-77.044492,38.909436,2
"CVSPHARMACY1334","717 14TH STREET NW",-77.0315771,38.8989161,2
"FOERSPHARMACY","818 18TH ST NW",-77.041905,38.9010394,2
"CVSPHARMACY2733","1601 17TH ST NW",-77.0381535,38.9113257,2
"GEORGEWASHINGTONUNIVERSITYHOSPITALPHARMACY","900 23RD ST NW",-77.0507854,38.9013368,2
"GWMEDICALFACULTYASSOCIATESPHARMACY","2150 PENNSYLVANIA AVE NW",-77.048511,38.9011918,2
"KAISERPERMANENTENORTHWESTDCPHARMACY","2301 M ST NW",-77.0503784,38.9054281,2
"CVSPHARMACY10685","675 K STREET NW",-77.0215884,38.9025417,2
"GIANT2376","1400 7TH STREET NW",-77.0223345,38.9090361,2
"WALGREENS15360","801 7TH ST NW",-77.0216214,38.9000177,2
"WALGREENS15953","1155 F STREET NW",-77.0274654,38.8975549,2
"CVSPHARMACY2378","2226 WISCONSIN AVE NW",-77.0715633,38.9198325,3
"CATHEDRALPHARMACY","3000 CONNECTICUT AVE NW",-77.0558376,38.9298279,3
"RITEAIDPHARMACY3873","3301 NEW MEXICO AVE NW",-77.085146,38.9336483,3
"CVSPHARMACY1353","3327 CONNETICUT AVE NW",-77.0573334,38.9343209,3
"WALGREENCOWALGREENS10311","3524 CONNECTICUT AVE NW",-77.059515,38.9364473,3
"CHEVYCHASEPHARMACY","3812 NORTHAMPTON ST NW",-77.076855,38.9657856,3
"CVSPHARMACY1362","4309 CONNECTICUT AVE NW",-77.0624774,38.9448004,3
"CVSPHARMACY2174","4555 WISCONSIN AVE NW",-77.0798386,38.9493786,3
"CVSPHARMACY1343","4851 MASSACHUSETTS AVE NW",-77.0958998,38.9460384,3
"CVSPHARMACY2204","4859 MACARTHUR BLVD NW",-77.0954946,38.9167338,3
"CVSPHARMACY2104","5013 CONNECTICUT AVE NW",-77.0695331,38.9553725,3
"RODMANSDISCOUNTDRUGS","5100 WISCONSIN AVE NW",-77.0840181,38.9563674,3
"FOERSPHARMACYSIBLEYHOSPITAL","5215 LOUGHBORO RD NW",-77.1074782,38.9370992,3
"SIBLEYMEMORIALHOSPITALPHARMACY","5255 LOUGHBORO RD NW",-77.1092589,38.9365582,3
"CVSPHARMACY6214","5335 WISCONSIN AVE NW",-77.0849152,38.960427,3
"SAFEWAYPHARMACY4832","5545 CONNECTICUT AVE NW",-77.0749146,38.9646285,3
"CVSPHARMACY1346","5550 CONNECTICUT AVE NW",-77.0758787,38.9646936,3
"ALEXPHARMLLCDBAPALISADESPHARMACY","5185 MACARTHUR BLVD NW",-77.1027728,38.9267556,3
"PSYCHIATRICINSTITUTEOFWASHINGTON","4228 WISCONSIN AVE NW",-77.077971,38.9439089,3
"CVSPHARMACY5674","3700 NEWARK ST NW",-77.0733814,38.9341975,3
"RITEAIDPHARMACY","2255 WISCONSIN AVE NW",-77.0711953,38.9204078,3
"CVSPHARMACY2330","110 CARROLL STREET NW",-77.0145647,38.9744797,4
"CVSPHARMACY1366","128-130 KENNEDY STREET NW",-77.013159,38.95637,4
"NEWHAMPSHIREPHARMACY","5001 NEW HAMPSHIRE AVE NW",-77.0124493,38.9511024,4
"CVSPHARMACY1349","5227 GEORGIA AVE NW",-77.027264,38.9537337,4
"RITEAIDPHARMACY2653","5600 GEORGIA AVE NW",-77.0286242,38.9576394,4
"METROCAREPHARMACY","6323 GEORGIA AVE NW",-77.0270647,38.9669065,4
"SAFEWAYPHARMACY1276","6500 PINEY BRANCH RD NW",-77.0265473,38.9695787,4
"CVSPHARMACY1364","6514 GEORGIA AVE NW",-77.0277137,38.96947,4
"SHEPHERDPHARMACY","7814 EASTERN AVE NW",-77.026823,38.9847829,4
"FRIENDSPHARMACY","6233 GEORGIA AVE NW",-77.0273226,38.9658118,4
"WALMART105968","5929 GEORGIA AVE NW",-77.0272307,38.9619482,4
"WALMARTPHARMACY103035","310 RIGGS RD N.E.",-77.0024413,38.9575988,4
"GIANTPHARMACY375","1050 BRENTWOOD RD NE",-76.9924217,38.9191984,5
"MEDSTARPHARMACY5","106 IRVING ST NW",-77.0137124,38.9296835,5
"PROVIDENCEHOSPITALPHARMACY","1150 VARNUM ST NE",-76.9915731,38.9437638,5
"WELLINGTONPHARMACY","1160 VARNUM ST NE",-76.9916106,38.944346,5
"TRIPLEALLIANCEPHARMACY","1219 BRENTWOOD RD NE",-76.989762,38.9206016,5
"RITEAIDPHARMACY4957","1401 RHODE ISLAND AVE NE",-76.9837116,38.9249224,5
"SAFEWAYPHARMACY4270","1601 MARYLAND AVE NE",-76.9796023,38.9004883,5
"HSCPEDIATRICCENTERPHARMACY","1731 BUNKER HILL RD NE",-76.9811186,38.9413873,5
"CVSPHARMACY1363","2350 WASHINGTON PL",-76.9947934,38.9212242,5
"CostcoPharmacy1120","2441 MARKET ST NE",-76.9503676,38.9203621,5
"CVSPHARMACY1333","3601 12TH STREET NE",-76.9908223,38.9337872,5
"NATIONSCAREPHARMACY","3818 12TH ST NE",-76.9908905,38.9370891,5
"CVSPHARMACY1340","845 BLADENSBURG ROAD NE",-76.9820757,38.9012713,5
