3465,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A05628944,,,,Simmien,,8/7/2006,,,Dog,,Bichon Frise,,,,,White,,Yes / Male,
1220,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A07544496,,,,Toby,,2/14/2009,,,Dog,,"Retriever, Labrador / Poodle, Standard",,,,,Beige / Brown,,Yes / Male,
0243,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DOH,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A09067979,,,,Stella,,11/6/2007,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Red / White,,Yes / Female,
5251,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A09165168,,,,Precious,,7/1/2008,,,Dog,,"Terrier, American Pit Bull / Mix",,,,,White / Brown,,No / Female,
2094,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11713913,,,,Rocko,,10/20/2008,,,Dog,,American Eskimo,,,,,White,,Yes / Male,
1159,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11062761,,,,Annie,,11/23/2009,,,Dog,,Beagle / Mix,,,,,Brown / White,,Yes / Female,
1968,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11811163,,,,Rogi,,11/4/2005,,,Dog,,Great Dane,,,,,Black,,Yes / Female,
5577,,,Expired,6/20/2012 12:00:00 AM,,Dog License S/N,,,,,DCACC,,,,,$15.00,,,
,,,,6/20/2012,,No,,,,,,,,,,,,,
A07157783,,,,Grady,,2/12/1999,,,Dog,,Terrier / Mix,,,,,Grey / White,,No / Female,
1224,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A08082853,,,,Teddy Bear,,7/20/2004,,,Dog,,Shih Tzu / Mix,,,,,Grey / White,,Yes / Male,
2448,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A09078617,,,,Tuna,,1/15/2009,,,Dog,,Rottweiler / Mix,,,,,Black / White,,Yes / Female,
0712,,,Inactive,8/27/2014 1:30:39 PM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,LIC Rabies,,7/12/2013,,,7/12/2016,,,
A01240169,,,,LUCY,,6/22/2001,,,Dog,,Papillon / Pomeranian,,,,,Brown / Brown,,No / Female,
1429,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A09204425,,,,Lalkee,,6/4/2009,,,Dog,,"German Shepherd / Terrier, American Pit Bull",,,,,Brown / Brindle,,Yes / Female,
1370,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A09120631,,,,Georgia,,5/19/1998,,,Dog,,Basset Hound / Mix,,,,,Red / Brown,,Yes / Female,
1437,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11697766,,,,King,,10/18/2007,,,Dog,,Pomeranian,,,,,Brown / Brown,,Yes / Male,
1597,,,Inactive,2/10/2014 11:26:32 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A01246044,,,,Dexter,,2/26/2004,,,Dog,,Chow Chow / Mix,,,,,Tan,,Yes / Male,
4544,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A07775976,,,,King,,6/6/2003,,,Dog,,Rottweiler / Mix,,,,,Black / Tan,,Yes / Male,
1265,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A10260450,,,,Shep,,4/27/2005,,,Dog,,Shepherd / Mix,,,,,Brown / Black,,Yes / Male,
2272,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11791112,,,,Diamond,,10/1/2007,,,Dog,,German Shepherd / Mix,,,,,Black,,Yes / Female,
2243,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
