0703,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A02435587,,,,Oliver,,5/16/2002,,,Dog,,Beagle / Mix,,,,,Black / Brown,,Yes / Male,
3928,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11920572,,,,Reily,,11/21/2008,,,Dog,,Rhodesian Ridgeback / Mix,,,,,Brown,,Yes / Male,
5337,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17740895,,,,Valerie,,5/3/2011,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brindle / White,,Yes / Female,
5326,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17988575,,,,Penny,,11/28/2011,,,Dog,,Australian Cattle Dog / Terrier,,,,,Brown / Brown,,Yes / Female,
3901,,,Inactive,4/12/2014 12:53:31 PM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18922217,,,,Charlie,,10/6/2011,,,Dog,,"Welsh Corgi, Pembroke",,,,,Tan,,Yes / Male,
2588,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,,,,
,,,,6/30/2013,,No,,,,,VAC RABIES,,10/4/2011,,,,,Chyna Cork,
A14207722,,,,Zoe,,10/4/2010,,,Dog,,"Terrier, Pit Bull / Terrier, Patterdale",,,,,Black,,Yes / Female,
3906,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18935746,,,,Pablo,,1/18/2009,,,Dog,,"Retriever, Labrador",,,,,Brown,,Yes / Male,
5196,,,Current,6/14/2013 12:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,,,No,,,,,,,,,,,,,
A15089864,,,,Sebastian,,1/23/2009,,,Dog,,"Terrier, Yorkshire / Mix",,,,,Silver / Black,,Yes / Male,
5388,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17153486,,,,Riko,,9/6/2009,,,Dog,,"Shih Tzu / Poodle, Miniature",,,,,Black / White,,Yes / Male,
0129,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,,
,,,,6/30/2014,,No,,,,,,,,,,,,,
A17729396,,,,Lailey,,10/31/2008,,,Dog,,"Terrier, West Highland White",,,,,White,,Yes / Female,
5372,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18736526,,,,Gucci,,12/16/2007,,,Dog,,Terrier / Mix,,,,,Black / Tan,,Yes / Male,
5839,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18814036,,,,Lucy,,12/30/2010,,,Dog,,"Retriever, Labrador / Mix",,,,,Tan,,Yes / Female,
5704,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18882090,,,,Dior,,10/25/2011,,,Dog,,"Terrier, Yorkshire / Mix",,,,,Brown / Black,,No / Female,
5838,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
