"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"3","A03062173","Jack","8/26/2003","Dog","Brittany / Border Collie","White / Brown","No / Male","3181","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"6","A02397049","Toco","12/13/2003","Dog","Poodle, Toy / Mix","Apricot","No / Male","3008","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"9","A11941360","Teddy","5/6/2011","Dog","Rhodesian Ridgeback / Retriever, Labrador","Tan","Yes / Male","1417","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"12","A09406827","Roxie","9/28/2009","Dog","Retriever, Labrador","Black / White","Yes / Female","1187","Inactive","7/22/2013 10:46:37 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"15","A13530503","Lolo","7/8/2003","Dog","Terrier, Pit Bull / Mix","Brown","No / Male","5212","Expired","6/30/2012 12:00:00 AM","Dog License No S/N","DCACC","$50.00","","6/30/2012","No","","","",""
"18","A14233945","Kailua","2/6/2011","Dog","Perro de Presa Canario / Mix","Tan","No / Female","14233945","Expired","10/6/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","10/6/2012","No","","","",""
"21","A03853274","Choco","3/4/2003","Dog","Terrier, Pit Bull","Brown","No / Male","0035","Inactive","12/31/2013 10:47:44 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"24","A01226490","GATOR","11/17/2001","Dog","Terrier, Pit Bull / Mix","Brown / Brindle","No / Male","1483","Inactive","5/13/2014 11:09:35 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","LIC Rabies","6/28/2014","6/28/2017",""
"27","A07589951","Roxie","10/20/2007","Dog","Terrier, Pit Bull / Mix","Tan / White","Yes / Female","0766","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"30","A16086051","Rayn","5/1/2011","Dog","Terrier, American Pit Bull / Mix","Grey","No / Female","5095","Cancelled (Deceased)","1/9/2013 6:46:04 PM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"33","A16122653","Ringo","5/5/2011","Dog","Terrier, Pit Bull / Mix","Tan / White","No / Male","5086","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"36","A15987303","Ginger","4/23/2000","Dog","Terrier, Yorkshire / Mix","Brown / Black / Tan","Yes / Female","3930","Expired","6/30/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2012","No","","","",""
"39","A14914460","Mocha","12/26/2010","Dog","Maltese / Terrier, Yorkshire","Black / Blond","No / Female","5130","Expired","12/26/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","12/26/2012","No","","","",""
"42","A15495291","queen","2/24/2005","Dog","Rottweiler","Black / Brown","No / Female","2258","Expired","2/24/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","2/24/2013","No","","","",""
"45","A15574661","Versace","3/7/2011","Dog","Great Dane","Black / White","No / Female","3821","Expired","3/7/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","3/7/2013","No","","","",""
"48","A15179402","Xena","2/5/2008","Dog","Bulldog, American","Brindle / White","Yes / Female","2217","Expired","2/5/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","2/5/2013","No","","","",""
"51","A15831804","Moet","6/26/2011","Dog","Terrier, Pit Bull / Mix","Brown / White","No / Female","3932","Expired","6/30/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2012","No","","","",""
"54","A16185015","Moon Dog","11/12/2010","Dog","Pug / Mix","Tan","No / Male","5039","Inactive","3/20/2014 12:14:25 PM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"57","A16226931","Naula","5/18/2009","Dog","Terrier, Pit Bull","Tan / White","No / Female","5023","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"60","A17383682","Daisy","","Dog","Newfoundland","Black","No / Female","1158","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH LT","$50.00","","6/30/2013","No","","","",""
"63","A12401137","Precious","8/16/2006","Dog","Chihuahua, Short Coat / Mix","Black / White","Yes / Female","5091","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"66","A15179462","Hulk","2/5/2008","Dog","Bulldog, American","Tan / White","Yes / Male","2230","Expired","2/5/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","2/5/2013","No","","","",""
"69","A16875432","Bocchus","10/2/2011","Dog","Bulldog, American / Mix","White / Brown","No / Male","4578","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"72","A15169457","Zeus","2/3/2010","Dog","German Shepherd / Mix","Black","No / Male","2237","Expired","2/3/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","2/3/2013","No","","","",""
"75","A15553575","Taz","12/11/2008","Dog","Rottweiler / Mix","Black","No / Male","0516","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"78","A14524127","Sparky","11/17/2009","Dog","Terrier, Yorkshire / Mix","Brown / Silver","Yes / Male","5300","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"81","A17209348","Jason","6/13/2012","Dog","Akita / Chinese Shar-Pei","Brown / Black","Yes / Male","5668","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Animal Care and Control","$50.00","","6/30/2013","No","","","",""
"84","A17317694","Mocha Carter","9/26/2010","Dog","Terrier, Boston","Brown","No / Female","5670","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"87","A13708933","Otis","7/30/2010","Dog","Terrier, Pit Bull / Mix","Brown / White","Yes / Male","0304","Inactive","3/26/2014 12:20:18 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"90","A14233905","Nana","4/6/2010","Dog","Terrier, Pit Bull / Mix","Blue / White","No / Female","5321","Expired","10/6/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","10/6/2012","No","","","",""
"93","A14046176","Treasure","9/13/2005","Dog","Terrier, American Pit Bull / Mix","Black / White","Yes / Male","4541","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"96","A14352329","Yagi","10/23/2002","Dog","Terrier, Boston","Black / White","No / Male","3577","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"99","A14576579","Loki","11/26/2010","Dog","Australian Shepherd / Australian Cattle Dog","Black / White","Yes / Male","3099","Inactive","2/10/2014 11:00:07 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"102","A18668016","Roxy","12/5/2010","Dog","Beagle / Mix","Black / Brown","No / Female","0119","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"105","A14062147","Passion","9/15/2009","Dog","Akita","White / Brown","No / Female","5074","Expired","9/15/2012 12:00:00 AM","Dog License No S/N","DCAC/NVB","$50.00","","9/15/2012","No","","","",""
"108","A16185790","Tater","5/13/2002","Dog","Retriever, Labrador","Black","No / Male","5052","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"111","A18671460","Lottie","","Dog","Samoyed","White","No / Female","0215","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"114","A15601604","Buster","4/12/2011","Dog","Bulldog, American / Mastiff","Blond","No / Male","3823","Expired","3/12/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","3/12/2013","No","","","",""
"117","A16042397","Lexi","10/25/2011","Dog","Beagle / Mix","Black / Tan","No / Female","0414","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"120","A16185004","Xiao Long","11/12/2010","Dog","Pug / Mix","Tan","No / Male","5060","Inactive","3/20/2014 12:18:09 PM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"123","A18674732","Molly","5/30/2010","Dog","Schnauzer, Miniature","White","Yes / Female","0284","Inactive","4/1/2014 12:15:32 PM","Dog License No S/N","DCACC","$50.00","","6/30/2013","No","","","",""
"126","A16672250","Patch","7/9/2009","Dog","Terrier, American Pit Bull / Mix","White / Tan","Yes / Female","5252","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Animal Care and Control","$50.00","","6/30/2013","No","","","",""
"129","A16594356","Ruby","6/28/2000","Dog","Beauceron","Black / Rust","Yes / Female","5211","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"132","A18671503","Pringle","8/18/2008","Dog","Terrier, Staffordshire Bull","Black / White","No / Male","0216","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"135","A16870784","Sasha","1/1/2012","Dog","Perro de Presa Canario","Fawn","No / Female","5477","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
