3181,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A03062173,,,,Jack,,8/26/2003,,,Dog,,Brittany / Border Collie,,,,,White / Brown,,No / Male,
3008,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A02397049,,,,Toco,,12/13/2003,,,Dog,,"Poodle, Toy / Mix",,,,,Apricot,,No / Male,
1417,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A11941360,,,,Teddy,,5/6/2011,,,Dog,,"Rhodesian Ridgeback / Retriever, Labrador",,,,,Tan,,Yes / Male,
1187,,,Inactive,7/22/2013 10:46:37 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A09406827,,,,Roxie,,9/28/2009,,,Dog,,"Retriever, Labrador",,,,,Black / White,,Yes / Female,
5212,,,Expired,6/30/2012 12:00:00 AM,,Dog License No S/N,,,,,DCACC,,,,,$50.00,,,
,,,,6/30/2012,,No,,,,,,,,,,,,,
A13530503,,,,Lolo,,7/8/2003,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brown,,No / Male,
14233945,,,Expired,10/6/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,10/6/2012,,No,,,,,,,,,,,,,
A14233945,,,,Kailua,,2/6/2011,,,Dog,,Perro de Presa Canario / Mix,,,,,Tan,,No / Female,
0035,,,Inactive,12/31/2013 10:47:44 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A03853274,,,,Choco,,3/4/2003,,,Dog,,"Terrier, Pit Bull",,,,,Brown,,No / Male,
1483,,,Inactive,5/13/2014 11:09:35 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,LIC Rabies,,6/28/2014,,,6/28/2017,,,
A01226490,,,,GATOR,,11/17/2001,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brown / Brindle,,No / Male,
0766,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A07589951,,,,Roxie,,10/20/2007,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Tan / White,,Yes / Female,
5095,,,Cancelled (Deceased),1/9/2013 6:46:04 PM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16086051,,,,Rayn,,5/1/2011,,,Dog,,"Terrier, American Pit Bull / Mix",,,,,Grey,,No / Female,
5086,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16122653,,,,Ringo,,5/5/2011,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Tan / White,,No / Male,
3930,,,Expired,6/30/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2012,,No,,,,,,,,,,,,,
